Entity,Code,Year,Self_harm,Conflict_and_terrorism,Interpersonal_violence,Diabetes_and_kidney_diseases,Digestive_diseases
England,ENG,1999,1.375538173,0.009825789,0.224467143,2.830612414,3.882971865
England,ENG,2000,1.365134813,0.008213688,0.235246638,2.923764717,3.981002664
England,ENG,2001,1.352925842,0.007820342,0.257824686,2.995299478,4.061634262
England,ENG,2002,1.320504081,0.007053681,0.25993846,3.066321227,4.122578634
England,ENG,2003,1.286100078,0.02142115,0.263621864,3.140073843,4.17533857
England,ENG,2004,1.261082532,0.013626303,0.260586338,3.224430144,4.208770863
England,ENG,2005,1.248263027,0.033059359,0.262188421,3.296690114,4.2495392
England,ENG,2006,1.265639999,0.026843084,0.25519045,3.364545084,4.304050381
England,ENG,2007,1.271468298,0.033763698,0.242009286,3.440245753,4.326965697
England,ENG,2008,1.3011131,0.023647345,0.23442596,3.521133377,4.353135119
England,ENG,2009,1.304798506,0.039641291,0.232211719,3.610602482,4.352346306
England,ENG,2010,1.277065778,0.038584783,0.223463841,3.699935872,4.367680591
England,ENG,2011,1.247824164,0.023681845,0.225511016,3.796813782,4.379016806
England,ENG,2012,1.21875101,0.022356942,0.216073645,3.906660243,4.397004967
England,ENG,2013,1.226134953,0.012074753,0.21033187,4.010155149,4.440006466
England,ENG,2014,1.226375869,0.010974382,0.206447204,4.109046358,4.472446279
England,ENG,2015,1.220897193,0.008841394,0.200026675,4.169025354,4.50057246
England,ENG,2016,1.224264593,0.009407072,0.19762678,4.210302815,4.471865303
England,ENG,2017,1.215062629,0.00798314,0.19773629,4.248634536,4.428404911
England,ENG,2018,1.194344799,0.007755204,0.204657355,4.272409564,4.449064386
England,ENG,2019,1.179631779,0.008161719,0.20439814,4.332592173,4.553126141
